Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B17008_001,SE_B17008_002,SE_B17008_003,SE_B17008_004,SE_B17008_005,SE_B17008_006,SE_B17008_007,SE_B17008_008,SE_B17008_009,SE_B17008_010,SE_B17008_011,SE_B17008_012,SE_B17008_013,SE_B17008_014,PCT_SE_B17008_002,PCT_SE_B17008_003,PCT_SE_B17008_004,PCT_SE_B17008_005,PCT_SE_B17008_006,PCT_SE_B17008_007,PCT_SE_B17008_008,PCT_SE_B17008_009,PCT_SE_B17008_010,PCT_SE_B17008_011,PCT_SE_B17008_012,PCT_SE_B17008_013,PCT_SE_B17008_014
"06107002702","Census Tract 27.02, Tulare County, California","ACSSF","ca","140","00","0011632",,,,,"06","107",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107002702","Census Tract 27.02",,,,1495,181,316,14,201,109,33,65,123,176,24,51,130,72,12.11,21.14,0.94,13.44,7.29,2.21,4.35,8.23,11.77,1.61,3.41,8.7,4.82
"06107002800","Census Tract 28, Tulare County, California","ACSSF","ca","140","00","0011633",,,,,"06","107",,,"002800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107002800","Census Tract 28",,,,918,144,88,22,36,3,25,34,28,112,176,93,77,80,15.69,9.59,2.4,3.92,0.33,2.72,3.7,3.05,12.2,19.17,10.13,8.39,8.71
"06107002901","Census Tract 29.01, Tulare County, California","ACSSF","ca","140","00","0011634",,,,,"06","107",,,"002901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107002901","Census Tract 29.01",,,,1330,62,144,20,25,152,27,14,151,95,209,64,127,240,4.66,10.83,1.5,1.88,11.43,2.03,1.05,11.35,7.14,15.71,4.81,9.55,18.05
"06107002903","Census Tract 29.03, Tulare County, California","ACSSF","ca","140","00","0011635",,,,,"06","107",,,"002903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107002903","Census Tract 29.03",,,,2498,264,297,112,35,291,54,92,225,346,78,361,84,259,10.57,11.89,4.48,1.4,11.65,2.16,3.68,9.01,13.85,3.12,14.45,3.36,10.37
"06107002904","Census Tract 29.04, Tulare County, California","ACSSF","ca","140","00","0011636",,,,,"06","107",,,"002904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107002904","Census Tract 29.04",,,,2069,139,329,76,71,74,119,42,224,300,219,228,34,214,6.72,15.9,3.67,3.43,3.58,5.75,2.03,10.83,14.5,10.58,11.02,1.64,10.34
"06107003001","Census Tract 30.01, Tulare County, California","ACSSF","ca","140","00","0011637",,,,,"06","107",,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003001","Census Tract 30.01",,,,1596,84,184,72,5,148,105,0,149,67,247,233,172,130,5.26,11.53,4.51,0.31,9.27,6.58,0,9.34,4.2,15.48,14.6,10.78,8.15
"06107003002","Census Tract 30.02, Tulare County, California","ACSSF","ca","140","00","0011638",,,,,"06","107",,,"003002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003002","Census Tract 30.02",,,,1492,34,91,4,32,93,96,84,182,195,340,77,84,180,2.28,6.1,0.27,2.14,6.23,6.43,5.63,12.2,13.07,22.79,5.16,5.63,12.06
"06107003100","Census Tract 31, Tulare County, California","ACSSF","ca","140","00","0011639",,,,,"06","107",,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003100","Census Tract 31",,,,1363,150,106,20,22,78,24,49,78,91,374,140,52,179,11.01,7.78,1.47,1.61,5.72,1.76,3.6,5.72,6.68,27.44,10.27,3.82,13.13
"06107003201","Census Tract 32.01, Tulare County, California","ACSSF","ca","140","00","0011640",,,,,"06","107",,,"003201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003201","Census Tract 32.01",,,,1913,159,135,12,11,116,46,35,134,138,693,132,118,184,8.31,7.06,0.63,0.58,6.06,2.4,1.83,7,7.21,36.23,6.9,6.17,9.62
"06107003202","Census Tract 32.02, Tulare County, California","ACSSF","ca","140","00","0011641",,,,,"06","107",,,"003202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003202","Census Tract 32.02",,,,879,32,35,29,0,34,31,0,59,56,369,61,80,93,3.64,3.98,3.3,0,3.87,3.53,0,6.71,6.37,41.98,6.94,9.1,10.58
"06107003301","Census Tract 33.01, Tulare County, California","ACSSF","ca","140","00","0011642",,,,,"06","107",,,"003301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003301","Census Tract 33.01",,,,1320,134,91,64,0,50,69,0,171,184,194,203,66,94,10.15,6.89,4.85,0,3.79,5.23,0,12.95,13.94,14.7,15.38,5,7.12
"06107003302","Census Tract 33.02, Tulare County, California","ACSSF","ca","140","00","0011643",,,,,"06","107",,,"003302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003302","Census Tract 33.02",,,,833,205,118,4,25,33,88,58,66,59,71,21,38,47,24.61,14.17,0.48,3,3.96,10.56,6.96,7.92,7.08,8.52,2.52,4.56,5.64
"06107003401","Census Tract 34.01, Tulare County, California","ACSSF","ca","140","00","0011644",,,,,"06","107",,,"003401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003401","Census Tract 34.01",,,,1513,131,66,35,5,96,16,14,43,115,589,198,34,171,8.66,4.36,2.31,0.33,6.35,1.06,0.93,2.84,7.6,38.93,13.09,2.25,11.3
"06107003402","Census Tract 34.02, Tulare County, California","ACSSF","ca","140","00","0011645",,,,,"06","107",,,"003402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003402","Census Tract 34.02",,,,664,161,156,27,24,21,16,6,15,44,30,108,21,35,24.25,23.49,4.07,3.61,3.16,2.41,0.9,2.26,6.63,4.52,16.27,3.16,5.27
"06107003501","Census Tract 35.01, Tulare County, California","ACSSF","ca","140","00","0011646",,,,,"06","107",,,"003501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003501","Census Tract 35.01",,,,1116,151,307,30,72,23,43,31,134,144,37,72,20,52,13.53,27.51,2.69,6.45,2.06,3.85,2.78,12.01,12.9,3.32,6.45,1.79,4.66
"06107003503","Census Tract 35.03, Tulare County, California","ACSSF","ca","140","00","0011647",,,,,"06","107",,,"003503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107003503","Census Tract 35.03",,,,2499,364,376,62,67,69,200,97,378,343,34,155,22,332,14.57,15.05,2.48,2.68,2.76,8,3.88,15.13,13.73,1.36,6.2,0.88,13.29
